ID,Date,City,State,Summary,Shape,Date_dt
0,5/7/25,Shermans Dale,PA,"Bright light shining out of our woods, then moved over my mother-in-laws house",Unknown,2025-05-07
1,5/7/25,North Richland Hills,TX,Large black triangle shaped object the size of a football field with pale green lights,Triangle,2025-05-07
2,5/5/25,Houma,LA,Clearly witnessed a tear shaped ufo over our airbase,Unknown,2025-05-05
3,5/2/25,Painted Post,NY,"black disk, no lights",Orb/Disk,2025-05-02
4,4/4/25,Porterville,CA,"Octahedron, dark metallic, 600-900ft away, followed parallel w vehicle, turned 90 degrees",Polyhedron,2025-04-04
5,3/28/25,Lakewood,CO,"A large triangular craft with an X shaped cross structure, followed by a helicopter",Triangle,2025-03-28
6,3/19/25,Manheim,PA,"Oblong cigar shaped, extremely bright white flashing. Hovering",Cylindrical,2025-03-19
7,3/8/25,Antwerp,Flanders,"Metallic, cylindrical UFO hovered for 30 sec then vanished at high speed",Unknown,2025-03-08
8,2/24/25,Huntington,NY,Blackhawk helicopter pursuing a brilliant white orb,Orb/Disk,2025-02-24
9,2/14/25,Windham,NH,Two football field wide triangle objects floating or slowly moving,Triangle,2025-02-14
10,1/27/25,Athens,GA,Huge upside-down Pyramid rotating glowing red on bottom,Polyhedron,2025-01-27
11,11/1/24,Lakeview,OR,"Bright white light moving at very high speeds, Mach 3, pilot sighting",Unknown,2024-11-01
12,9/28/24,Spearfish,SD,"Chevron-shaped craft, estimated speed 523,440 mph, astrophotographer sighting",Chevron,2024-09-28
13,8/22/24,Salem,IN,"Black triangular-shaped object, shot an intense blue and white beam",Triangle,2024-08-22
14,9/17/24,Reef Station,CA,"Gray cylinder passing 10ft underneath military aircraft, Mach 4",Cylindrical,2024-09-17
